matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,4,1,10,4,16,2000,0.8152999999999999,0.37560000000000004,1.9,19992,3103784.96,1999.04,309841.92
8,4,1,15,2,8,2000,0.8112,0.3513,1.8,29988,4645191.68,1999.13,309852.16
8,4,1,15,2,8,1000,0.9,0.3546,1.8,14996,2327838.72,999.68,154951.68
8,4,1,15,2,16,1000,0.7501,0.4017,2.2,14992,2327838.72,999.33,154900.48
8,4,1,15,2,16,2000,0.8186,0.4295,2.2,29974,4645191.68,1998.2,309719.04
8,4,1,15,4,8,1000,0.7791,0.30569999999999997,1.5,15004,2327838.72,1000.2,155033.6
8,4,1,15,4,8,2000,0.7092999999999999,0.3009,1.4,30000,4645191.68,1999.83,309964.8
8,4,1,15,4,16,1000,0.8262999999999999,0.3989,1.8,15004,2327838.72,1000.06,155013.12
8,4,1,15,4,16,2000,0.8481000000000001,0.3708,1.8,29992,4645191.68,1999.45,309913.6
8,4,2,10,2,8,1000,0.7963,0.3906,1.9,9997,1646264.32,999.65,164935.68
8,4,2,10,2,8,2000,0.816,0.3456,2.0,19988,3303014.4,1998.57,329758.72
8,4,2,10,2,16,1000,0.8022,0.4121,2.1,9991,1646264.32,999.03,164843.52
8,4,2,10,2,16,2000,0.7857000000000001,0.4213,2.0,19973,3292528.64,1997.16,329523.2
8,4,2,10,4,8,1000,0.8005,0.4639,8.8,10004,1646264.32,1000.25,165038.08
8,4,2,10,4,8,2000,0.7772,0.4809,8.6,20000,3303014.4,1999.76,329953.28
8,4,2,10,4,16,1000,0.8,0.5215,9.0,10001,1646264.32,999.75,164956.16
8,4,2,10,4,16,2000,0.9,0.5009,9.4,19986,3292528.64,1998.61,329758.72
8,4,2,15,2,8,1000,0.8282999999999999,0.4009,2.8,14995,2474639.36,999.6,164935.68
8,4,2,15,2,8,2000,0.8377,0.38880000000000003,2.8,29985,4949278.72,1998.87,329799.68
8,4,2,15,2,16,1000,0.7376,0.42110000000000003,2.1,14987,2474639.36,999.11,164853.76
8,4,2,15,2,16,2000,0.7665,0.4564,2.8,29964,4938792.96,1997.49,329584.64
8,4,2,15,4,8,2000,0.6718,0.316,1.5,30000,4949278.72,1999.85,329963.52
8,4,2,15,4,8,1000,0.708,0.317,1.4,15004,2474639.36,1000.15,165017.6
8,4,2,15,4,16,1000,0.8302999999999999,0.37360000000000004,1.8,15003,2474639.36,1000.01,164997.12
8,4,2,15,4,16,2000,0.844,0.36369999999999997,1.8,29990,4949278.72,1999.22,329861.12
8,4,4,10,2,8,2000,0.7908,0.3575,2.0,19988,3659530.24,1998.86,365783.04
8,4,4,10,2,8,1000,0.9,0.3705,2.0,9996,1824522.24,999.55,182917.12
8,4,4,10,2,16,1000,0.7555,0.4304,2.1,9989,1824522.24,998.88,182794.24
8,4,4,10,2,16,2000,0.8207000000000001,0.4258,2.2,19971,3659530.24,1997.11,365465.6
8,4,4,10,4,8,2000,0.7146,0.3038,1.7,20000,3659530.24,1999.7,365936.64
8,4,4,10,4,8,1000,0.7472000000000001,0.301,1.6,10004,1835008.0,1000.25,183040.0
8,4,4,10,4,16,1000,0.8379,0.37589999999999996,1.8,10000,1835008.0,999.91,182988.8
8,4,4,10,4,16,2000,0.8,0.381,2.1,19992,3659530.24,1999.21,365844.48
8,4,4,15,2,8,2000,0.786,0.349,1.7,29988,5484052.48,1999.14,365834.24
8,4,4,15,2,8,1000,0.8422000000000001,0.39089999999999997,1.8,14996,2747269.12,999.68,182937.6
8,4,4,15,2,16,1000,0.6788,0.38680000000000003,1.9,14992,2747269.12,999.31,182876.16
8,4,4,15,2,16,2000,0.8105,0.41,1.9,29972,5484052.48,1998.12,365649.92
8,4,4,15,4,8,2000,0.7278,0.3044,1.6,30000,5494538.24,1999.93,365977.6
8,4,4,15,4,8,1000,0.778,0.313,1.5,15004,2747269.12,1000.18,183029.76
8,4,4,15,4,16,1000,0.8,0.36769999999999997,2.0,15004,2747269.12,1000.01,182999.04
8,4,4,15,4,16,2000,0.8,0.36369999999999997,1.9,29992,5484052.48,1999.44,365895.68
8,8,1,10,2,8,1000,0.8,0.3585,1.9,9996,1562378.24,999.59,155934.72
8,8,1,10,2,8,2000,0.7659,0.3521,1.9,19990,3114270.72,1998.72,311787.52
8,8,1,10,2,16,1000,0.7577,0.4284,2.1,9989,1562378.24,998.89,155822.08
8,8,1,10,2,16,2000,0.7867999999999999,0.4136,2.2,19972,3114270.72,1997.17,311552.0
8,8,1,10,4,8,1000,0.7454,0.3034,1.6,10004,1562378.24,1000.31,156047.36
8,8,1,10,4,8,2000,0.7347,0.3039,2.2,20000,3124756.48,1999.73,311951.36
8,8,1,10,4,16,1000,0.833,0.3728,2.0,10000,1562378.24,999.95,155996.16
8,8,1,10,4,16,2000,0.8486,0.3707,1.8,19993,3114270.72,1999.28,311879.68
8,8,1,15,2,8,1000,0.7953,0.3635,2.8,14996,2338324.48,999.74,155955.2
8,8,1,15,2,8,2000,0.7496,0.3463,3.1,29988,4676648.96,1999.07,311848.96
8,8,1,15,2,16,1000,0.7393,0.4143,2.9,14992,2338324.48,999.4,155904.0
8,8,1,15,2,16,2000,0.7953,0.42219999999999996,3.3,29971,4676648.96,1997.96,311674.88
8,8,1,15,4,8,1000,0.7405,0.31660000000000005,1.7,15004,2338324.48,1000.23,156037.12
8,8,1,15,4,8,2000,0.7152999999999999,0.3063,1.4,30000,4676648.96,1999.82,311961.6
8,8,1,15,4,16,2000,0.8392000000000001,0.38139999999999996,1.9,29992,4676648.96,1999.45,311910.4
8,8,1,15,4,16,1000,0.835,0.3866,1.9,15004,2338324.48,999.99,155996.16
8,8,2,10,2,8,1000,0.8,0.35760000000000003,2.0,9996,1667235.84,999.6,166932.48
8,8,2,10,2,8,2000,0.8237000000000001,0.3524,1.8,19988,3334471.68,1998.53,333742.08
8,8,2,10,2,16,1000,0.7707999999999999,0.4208,2.1,9991,1667235.84,999.02,166840.32
8,8,2,10,2,16,2000,0.7937000000000001,0.4072,2.1,19972,3334471.68,1997.2,333527.04
8,8,2,10,4,8,1000,0.7622000000000001,0.2965,1.5,10004,1667235.84,1000.3,167045.12
8,8,2,10,4,8,2000,0.6822999999999999,0.2984,1.4,20000,3344957.44,1999.83,333967.36
8,8,2,10,4,16,1000,0.8276,0.3723,1.9,10000,1667235.84,999.96,166993.92
8,8,2,10,4,16,2000,0.8422999999999999,0.37239999999999995,1.8,19992,3334471.68,1999.04,333834.24
8,8,2,15,2,8,1000,0.7844,0.4049,1.9,14997,2506096.64,999.71,166952.96
8,8,2,15,2,8,2000,0.7651,0.3485,1.8,29988,5012193.28,1999.02,333824.0
8,8,2,15,2,16,2000,0.8121,0.44339999999999996,2.1,29971,5001707.52,1998.07,333670.4
8,8,2,15,2,16,1000,0.7732,0.4131,2.0,14992,2506096.64,999.33,166891.52
8,8,2,15,4,8,1000,0.7609,0.3123,1.5,15004,2506096.64,1000.2,167034.88
8,8,2,15,4,8,2000,0.7206,0.3054,1.4,30000,5012193.28,1999.85,333967.36
8,8,2,15,4,16,2000,0.8478,0.3845,1.8,29993,5012193.28,1999.49,333905.92
8,8,2,15,4,16,1000,0.8296,0.36160000000000003,1.9,15004,2506096.64,1000.02,167004.16
8,8,4,10,2,8,1000,0.8,0.3773,1.9,9996,1866465.28,999.58,186920.96
8,8,4,10,2,8,2000,0.8134,0.3623,2.0,19988,3732930.56,1998.54,373719.04
8,8,4,10,2,16,1000,0.683,0.4024,2.1,9990,1866465.28,998.92,186798.08
8,8,4,10,2,16,2000,0.7743,0.42319999999999997,2.1,19971,3732930.56,1997.15,373463.04
8,8,4,10,4,8,1000,0.7383,0.3039,1.6,10004,1866465.28,1000.24,187043.84
8,8,4,10,4,8,2000,0.7142999999999999,0.304,1.7,20000,3743416.32,1999.82,373954.56
8,8,4,10,4,16,1000,0.8416,0.387,2.0,10000,1866465.28,999.93,186982.4
8,8,4,10,4,16,2000,0.8,0.3825,1.9,19992,3743416.32,1999.07,373821.44
8,8,4,15,2,8,1000,0.8099,0.42060000000000003,2.1,14998,2799697.92,999.83,186961.92
8,8,4,15,2,8,2000,0.8359,0.378,2.1,29989,5609881.6,1999.11,373821.44
8,8,4,15,2,16,2000,0.781,0.4395,2.2,29974,5609881.6,1998.19,373657.6
8,8,4,15,2,16,1000,0.7677,0.3765,2.1,14992,2799697.92,999.3,186869.76
8,8,4,15,4,8,1000,0.766,0.31760000000000005,1.6,15004,2810183.68,1000.21,187033.6
8,8,4,15,4,8,2000,0.7179,0.3058,1.5,30000,5609881.6,1999.85,373964.8
8,8,4,15,4,16,2000,0.8442999999999999,0.3713,1.8,29992,5609881.6,1999.4,373882.88
8,8,4,15,4,16,1000,0.8241,0.3963,1.9,15003,2810183.68,999.96,186992.64
8,16,1,10,2,8,1000,0.8285,0.3639,2.0,9996,1551892.48,999.53,154920.96
8,16,1,10,2,8,2000,0.7712,0.3457,1.8,19987,3093299.2,1998.79,309800.96
8,16,1,10,2,16,1000,0.7737999999999999,0.43789999999999996,2.2,9988,1551892.48,998.8,154818.56
8,16,1,10,2,16,2000,0.7918999999999999,0.4428,2.2,19972,3093299.2,1997.03,309534.72
8,16,1,10,4,8,1000,0.7756000000000001,0.2925,1.6,10004,1551892.48,1000.27,155033.6
8,16,1,10,4,8,2000,0.6882,0.3077,1.7,20000,3103784.96,1999.78,309954.56
8,16,1,10,4,16,1000,0.8,0.3654,1.9,10001,1551892.48,1000.01,155002.88
8,16,1,10,4,16,2000,0.8327,0.37189999999999995,2.3,19992,3103784.96,1999.25,309872.64
8,16,1,15,2,8,1000,0.7842,0.3792,1.8,14997,2327838.72,999.74,154951.68
8,16,1,15,2,8,2000,0.7696000000000001,0.3456,1.8,29988,4645191.68,1999.04,309841.92
8,16,1,15,2,16,2000,0.7955,0.4505,2.3,29970,4645191.68,1997.96,309678.08
8,16,1,15,2,16,1000,0.7379,0.4009,2.1,14992,2327838.72,999.31,154890.24
8,16,1,15,4,8,1000,0.7732,0.30219999999999997,1.5,15004,2327838.72,1000.18,155023.36
8,16,1,15,4,8,2000,0.7155,0.3008,1.4,30000,4645191.68,1999.83,309964.8
8,16,1,15,4,16,2000,0.8346,0.37160000000000004,2.3,29992,4645191.68,1999.39,309903.36
8,16,1,15,4,16,1000,0.8406,0.3827,2.0,15003,2327838.72,999.9,154982.4
8,16,2,10,2,8,1000,0.9,0.3604,1.9,9996,1646264.32,999.59,164925.44
8,16,2,10,2,8,2000,0.7411,0.3496,2.2,19989,3303014.4,1998.7,329779.2
8,16,2,10,2,16,1000,0.7272000000000001,0.4181,2.2,9990,1646264.32,998.87,164812.8
8,16,2,10,2,16,2000,0.8,0.4167,2.1,19973,3292528.64,1997.19,329533.44
8,16,2,10,4,8,1000,0.7527999999999999,0.314,1.8,10004,1646264.32,1000.27,165038.08
8,16,2,10,4,8,2000,0.7056,0.30019999999999997,1.9,20000,3303014.4,1999.72,329943.04
8,16,2,10,4,16,1000,0.8286,0.3917,1.9,10003,1646264.32,1000.2,165027.84
8,16,2,10,4,16,2000,0.8439,0.37860000000000005,2.0,19992,3303014.4,1999.22,329861.12
8,16,2,15,2,8,1000,0.8029,0.3976,2.0,14997,2474639.36,999.73,164956.16
8,16,2,15,2,8,2000,0.7485,0.3465,1.8,29988,4949278.72,1999.04,329830.4
8,16,2,15,2,16,2000,0.8379,0.4572,2.3,29971,4949278.72,1997.99,329666.56
8,16,2,15,2,16,1000,0.7202999999999999,0.3967,2.0,14992,2474639.36,999.3,164884.48
8,16,2,15,4,8,1000,0.7494,0.31839999999999996,1.7,15004,2474639.36,1000.18,165027.84
8,16,2,15,4,8,2000,0.6724,0.31,2.1,30000,4949278.72,1999.86,329973.76
8,16,2,15,4,16,2000,0.8,0.3947,2.3,29994,4949278.72,1999.56,329922.56
8,16,2,15,4,16,1000,0.8,0.37360000000000004,1.9,15004,2474639.36,1000.0,164997.12
8,16,4,10,2,8,1000,0.8069,0.38780000000000003,2.0,9997,1824522.24,999.63,182927.36
8,16,4,10,2,8,2000,0.8129,0.3635,2.3,19988,3659530.24,1998.76,365762.56
8,16,4,10,2,16,1000,0.7298,0.3996,2.5,9990,1824522.24,999.01,182814.72
8,16,4,10,2,16,2000,0.809,0.42010000000000003,2.6,19972,3659530.24,1997.16,365475.84
8,16,4,10,4,8,1000,0.7487999999999999,0.30789999999999995,2.0,10004,1835008.0,1000.32,183050.24
8,16,4,10,4,8,2000,0.7137,0.3112,2.0,20000,3659530.24,1999.76,365946.88
8,16,4,10,4,16,1000,0.8284,0.3748,2.3,10000,1835008.0,999.86,182978.56
8,16,4,10,4,16,2000,0.8,0.3887,2.4,19992,3659530.24,1999.09,365824.0
8,16,4,15,2,8,1000,0.8,0.41869999999999996,1.9,14996,2747269.12,999.71,182947.84
8,16,4,15,2,8,2000,0.9,0.3649,2.0,29988,5484052.48,1999.09,365824.0
8,16,4,15,2,16,1000,0.6892,0.3826,2.1,14992,2747269.12,999.35,182876.16
8,16,4,15,2,16,2000,0.8101,0.4153,2.3,29972,5484052.48,1998.08,365639.68
8,16,4,15,4,8,1000,0.7536,0.32,1.6,15004,2747269.12,1000.19,183029.76
8,16,4,15,4,8,2000,0.7238,0.3167,1.6,30000,5494538.24,1999.77,365946.88
8,16,4,15,4,16,2000,0.8,0.3865,1.9,29992,5484052.48,1999.48,365895.68
8,16,4,15,4,16,1000,0.8,0.4029,1.9,15004,2747269.12,1000.01,182999.04
16,2,1,10,2,8,1000,0.9,0.399,2.2,9996,1551892.48,999.56,154931.2
16,2,1,10,2,8,2000,0.8405,0.387,2.1,19987,3093299.2,1998.41,309749.76
16,2,1,10,2,16,2000,0.7659,0.418,2.4,19972,3093299.2,1997.06,309534.72
16,2,1,10,2,16,1000,0.7484,0.3787,2.1,9991,1551892.48,999.02,154849.28
16,2,1,10,4,8,1000,0.7908,0.305,1.6,10004,1551892.48,1000.31,155043.84
16,2,1,10,4,8,2000,0.7489,0.31060000000000004,1.6,20000,3103784.96,1999.75,309954.56
16,2,1,10,4,16,2000,0.8,0.392,2.0,19992,3103784.96,1999.13,309862.4
16,2,1,10,4,16,1000,0.8,0.3955,2.3,10000,1551892.48,999.88,154982.4
16,2,1,15,2,8,1000,0.9,0.4128,2.1,14996,2327838.72,999.69,154951.68
16,2,1,15,2,8,2000,0.8281000000000001,0.3867,2.0,29986,4645191.68,1999.07,309852.16
16,2,1,15,2,16,2000,0.768,0.3975,2.2,29971,4645191.68,1998.06,309698.56
16,2,1,15,2,16,1000,0.7322000000000001,0.3867,2.0,14992,2327838.72,999.25,154880.0
16,2,1,15,4,8,1000,0.8342999999999999,0.3,1.6,15004,2327838.72,1000.19,155023.36
16,2,1,15,4,8,2000,0.7481,0.31710000000000005,1.6,30000,4645191.68,1999.8,309964.8
16,2,1,15,4,16,2000,0.8,0.3777,2.1,29992,4645191.68,1999.41,309903.36
16,2,1,15,4,16,1000,0.8,0.4378,2.0,15004,2327838.72,1000.01,155002.88
16,2,2,10,2,8,1000,0.8,0.43489999999999995,2.4,9996,1646264.32,999.55,164925.44
16,2,2,10,2,8,2000,0.8,0.36110000000000003,2.3,18996,3135242.24,1899.35,313384.96
16,2,2,10,2,16,1000,0.7907000000000001,0.37360000000000004,2.4,9988,1646264.32,998.82,164802.56
16,2,2,10,2,16,2000,0.783,0.37389999999999995,2.3,19971,3292528.64,1996.9,329482.24
16,2,2,10,4,8,1000,0.7597999999999999,0.31410000000000005,1.6,10004,1646264.32,1000.28,165038.08
16,2,2,10,4,8,2000,0.7646000000000001,0.30839999999999995,1.5,20000,3303014.4,1999.7,329943.04
16,2,2,10,4,16,1000,0.8,0.3917,2.0,10000,1646264.32,999.93,164986.88
16,2,2,10,4,16,2000,0.8,0.4057,2.0,19992,3303014.4,1999.03,329830.4
16,2,2,15,2,8,1000,0.8,0.39080000000000004,1.9,14996,2474639.36,999.69,164945.92
16,2,2,15,2,8,2000,0.9,0.3916,2.1,29988,4949278.72,1999.14,329850.88
16,2,2,15,2,16,2000,0.7339,0.3757,2.2,29972,4949278.72,1998.07,329676.8
16,2,2,15,2,16,1000,0.7644,0.3841,2.1,14992,2474639.36,999.26,164874.24
16,2,2,15,4,8,1000,0.8215,0.30469999999999997,1.5,15004,2474639.36,1000.18,165027.84
16,2,2,15,4,8,2000,0.7536,0.314,1.6,29999,4949278.72,1999.75,329953.28
16,2,2,15,4,16,2000,0.9,0.3895,2.0,29992,4949278.72,1999.42,329902.08
16,2,2,15,4,16,1000,0.8,0.4094,2.2,15004,2474639.36,1000.02,165007.36
16,2,4,10,2,8,1000,0.9,0.3986,2.2,9996,1824522.24,999.52,182906.88
16,2,4,10,2,8,2000,0.9,0.3787,2.3,19989,3659530.24,1998.77,365762.56
16,2,4,10,2,16,1000,0.8288,0.3792,2.3,9990,1824522.24,998.93,182804.48
16,2,4,10,2,16,2000,0.7682,0.39130000000000004,2.3,19971,3659530.24,1996.99,365445.12
16,2,4,10,4,8,1000,0.8458,0.3043,1.8,10004,1835008.0,1000.26,183040.0
16,2,4,10,4,8,2000,0.7766000000000001,0.30789999999999995,2.0,20000,3659530.24,1999.72,365936.64
16,2,4,10,4,16,1000,0.8,0.4164,2.1,10001,1835008.0,1000.08,183019.52
