matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
64,64,10,10,1,9000,1000,1900.0,822.9,3200.0,529,109506.56,52.18,10803.2
64,64,10,10,1,9100,1000,1900.0,821.0,3200.0,529,109506.56,51.67,10690.56
64,64,10,10,1,9200,1000,1900.0,833.5,3300.0,527,109086.72,50.94,10547.2
64,64,10,10,1,9300,1000,1900.0,828.4,3300.0,528,109291.52,50.57,10465.28
64,64,10,10,1,9400,1000,2000.0,852.8,3300.0,520,107642.88,49.31,10209.28
64,64,10,10,1,9500,1000,2000.0,835.8,3300.0,525,108677.12,49.33,10209.28
64,64,10,10,1,9600,1000,2200.0,935.9,3600.0,498,103086.08,46.59,9646.08
64,64,10,10,1,9700,1000,2000.0,860.2,3400.0,518,107223.04,47.75,9881.6
64,64,10,10,1,9800,1000,2200.0,905.7,3600.0,497,102881.28,45.63,9441.28
64,64,10,10,1,9900,1000,2100.0,878.8,3600.0,509,105359.36,46.32,9584.64
