matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,8,2,20,1,1000,2000,5.2,3.4,22.6,13302,2222981.12,664.82,111022.08
8,8,2,20,2,10,1000,1.0,0.577,11.5,19994,3334471.68,999.64,166932.48
8,8,2,20,2,10,2000,0.9,0.5336000000000001,7.1,39982,6679429.12,1998.95,333813.76
8,8,2,20,1,1000,1000,5.2,2.5,16.4,2231,372572.16,108.33,18094.08
8,8,2,20,2,100,1000,0.0,0.0,0.0,825,137779.2,40.74,6799.36
8,8,2,20,2,1000,2000,5.1,3.5,25.4,12194,2034237.44,609.56,101795.84
8,8,2,20,2,1000,1000,4.8,3.0,25.7,3451,576317.44,170.57,28487.68
8,8,2,20,2,100,2000,2.5,2.5,16.1,6676,1111490.56,329.54,55029.76
8,8,2,20,4,10,1000,0.744,0.3226,1.8,19998,3334471.68,999.88,166973.44
8,8,2,20,4,10,2000,0.6779,0.3178,2.0,39997,6679429.12,1999.91,333977.6
8,8,2,20,4,100,1000,0.8112999999999999,0.4118,2.3,19747,3292528.64,987.24,164864.0
8,8,2,20,4,100,2000,0.7333999999999999,0.3832,2.2,39924,6668943.36,1996.03,333332.48
8,8,4,10,1,10,1000,2.4,4.1,57.9,9980,1866465.28,996.91,186419.2
8,8,4,10,1,10,2000,3.1,6.0,71.6,19927,3722444.8,1991.92,372480.0
8,8,2,20,4,1000,2000,3.7,2.5,18.9,13919,2327838.72,694.96,116060.16
8,8,4,10,1,100,1000,1.9,1.5,13.7,9800,1835008.0,980.01,183265.28
8,8,4,10,1,100,2000,2.2,1.7,13.8,19537,3649044.48,1954.72,365537.28
8,8,2,20,4,1000,1000,0.0,0.0,0.0,1000,167004.16,47.06,7854.08
8,8,4,10,1,1000,1000,4.2,4.3,20.1,1485,277698.56,148.48,27760.64
8,8,4,10,1,1000,2000,3.0,2.6,20.0,6252,1163919.36,625.13,116899.84
8,8,4,10,2,10,1000,0.9,0.4037,5.2,9994,1866465.28,999.19,186849.28
8,8,4,10,2,10,2000,0.8,0.4288,4.4,19982,3732930.56,1997.95,373606.4
8,8,4,10,2,100,2000,1.3,1.1,12.3,7241,1352663.04,722.54,135116.8
8,8,4,10,2,100,1000,0.0,0.0,0.0,992,185507.84,96.78,18094.08
8,8,4,10,2,1000,1000,10.1,11.9,35.4,1000,187002.88,95.19,17797.12
8,8,4,10,2,1000,2000,3.9,5.8,37.7,8042,1499463.68,803.97,150343.68
